failure_type,cause,downtime_duration,repair_action_score,time_of_occurrence,historical_risk_score
Software,Operator,7.36,2,0,75.73
Electrical,Environment,6.87,2,13,61.28
Software,Deterioration,4.08,1,0,43.95
Software,Operator,0.5,2,7,34.26
Software,Operator,0.58,1,2,37.47
Software,Deterioration,4.16,4,16,48.34
Electrical,Operator,7.96,5,6,87.27
Mechanical,Deterioration,5.31,5,14,71.64
Software,Deterioration,7.1,1,6,60.55
Software,Operator,3.84,3,21,58.13
Mechanical,Operator,0.14,1,1,43.87
Electrical,Deterioration,1.34,5,1,70.12
Mechanical,Environment,6.65,4,12,63.57
Electrical,Operator,4.83,2,12,59.12
Hydraulic,Operator,2.7,3,11,57.28
Mechanical,Deterioration,7.94,2,19,56.6
Mechanical,Environment,7.32,3,11,66.8
Hydraulic,Deterioration,2.6,2,3,58.25
Hydraulic,Operator,8.39,5,18,90.0
Mechanical,Environment,2.95,1,3,49.77
Software,Deterioration,6.41,3,5,60.65
Mechanical,Deterioration,7.23,3,11,76.44
Electrical,Deterioration,6.11,5,22,74.81
Hydraulic,Operator,1.92,2,20,55.53
Mechanical,Deterioration,7.65,1,6,76.32
Electrical,Operator,7.7,5,9,83.63
Software,Operator,5.94,3,16,60.02
Electrical,Operator,7.95,5,16,87.47
Electrical,Deterioration,4.51,1,7,47.32
Software,Operator,7.47,3,9,67.67
Software,Environment,6.81,3,9,51.26
Mechanical,Operator,7.98,4,21,90.0
Hydraulic,Operator,5.83,2,4,71.79
Software,Operator,7.55,3,3,71.75
Software,Operator,4.39,1,22,44.1
Mechanical,Environment,9.43,4,12,66.72
Software,Environment,6.84,1,19,40.15
Electrical,Deterioration,1.48,5,4,66.24
Software,Deterioration,2.29,4,21,60.6
Mechanical,Deterioration,2.78,4,15,48.22
Hydraulic,Environment,8.04,2,4,56.06
Mechanical,Operator,5.18,3,11,68.45
Hydraulic,Operator,2.51,5,16,67.6
Mechanical,Operator,3.5,1,23,59.29
Mechanical,Operator,0.31,5,13,49.21
Electrical,Deterioration,8.36,3,17,76.09
Electrical,Operator,3.91,2,2,69.39
Hydraulic,Deterioration,9.28,1,1,78.1
Mechanical,Deterioration,0.04,3,12,28.99
Mechanical,Deterioration,9.36,5,21,90.0
Mechanical,Deterioration,9.66,4,15,90.0
Mechanical,Operator,3.46,3,4,68.7
Electrical,Operator,9.55,4,23,86.87
Software,Deterioration,0.37,1,18,23.92
Mechanical,Operator,2.47,3,16,48.28
Electrical,Deterioration,3.93,5,9,63.87
Mechanical,Deterioration,9.05,3,22,75.5
Hydraulic,Deterioration,6.85,2,4,69.84
Software,Environment,2.15,4,6,51.24
Electrical,Deterioration,6.1,1,15,38.98
Mechanical,Environment,2.67,3,14,46.49
Hydraulic,Deterioration,0.38,4,2,54.61
Hydraulic,Deterioration,3.37,3,7,46.13
Mechanical,Environment,7.05,3,4,62.27
Electrical,Deterioration,9.13,1,2,65.82
Software,Deterioration,7.27,4,21,85.2
Hydraulic,Operator,8.56,4,22,90.0
Mechanical,Deterioration,3.07,3,2,59.62
Software,Deterioration,9.11,1,23,66.55
Hydraulic,Operator,2.48,2,3,51.26
Electrical,Environment,3.24,4,15,40.94
Electrical,Deterioration,5.45,4,16,71.46
Hydraulic,Environment,0.59,3,22,49.71
Electrical,Operator,0.61,4,6,51.1
Software,Deterioration,8.8,5,10,75.4
Hydraulic,Operator,9.8,3,15,69.58
Software,Deterioration,5.76,2,1,51.2
Electrical,Deterioration,9.18,5,8,90.0
Electrical,Deterioration,6.75,2,11,64.11
Hydraulic,Operator,2.37,4,10,55.59
Electrical,Operator,4.82,4,21,75.02
Software,Deterioration,0.62,1,11,29.83
Software,Deterioration,7.93,1,19,43.15
Hydraulic,Deterioration,1.87,5,10,51.64
Mechanical,Environment,1.7,1,11,31.05
Software,Operator,6.32,4,8,59.68
Hydraulic,Deterioration,8.98,5,22,90.0
Hydraulic,Operator,7.91,3,0,71.91
Software,Deterioration,8.9,1,10,46.91
Software,Environment,6.88,1,13,46.5
Hydraulic,Environment,1.88,3,22,56.17
Electrical,Deterioration,3.74,3,6,50.96
Software,Deterioration,5.21,3,9,48.05
Electrical,Deterioration,9.11,1,21,74.46
Mechanical,Deterioration,9.06,1,12,71.25
Software,Operator,2.89,5,4,78.54
Hydraulic,Operator,7.09,4,10,77.51
Mechanical,Deterioration,1.41,2,6,50.51
Electrical,Operator,5.5,2,17,65.06
Electrical,Deterioration,8.93,3,21,75.98
Hydraulic,Environment,3.9,1,17,27.44
Electrical,Operator,1.36,5,3,77.8
Mechanical,Deterioration,4.0,5,16,68.4
Software,Environment,6.86,5,10,73.76
Electrical,Deterioration,5.58,3,14,58.14
Electrical,Environment,3.15,1,8,33.33
Software,Deterioration,0.43,2,13,20.94
Electrical,Operator,6.37,4,0,83.7
Hydraulic,Deterioration,4.78,3,9,54.89
Electrical,Environment,4.0,4,4,62.13
Software,Deterioration,8.97,3,3,69.69
Hydraulic,Deterioration,8.63,1,12,65.22
Mechanical,Environment,6.35,4,13,72.47
Mechanical,Operator,8.1,3,3,89.1
Software,Operator,2.62,1,10,46.02
Software,Operator,4.28,5,19,72.24
Hydraulic,Deterioration,5.5,2,22,52.07
Mechanical,Operator,0.18,5,5,73.58
Mechanical,Environment,8.39,5,9,78.4
Electrical,Operator,4.37,2,21,70.15
Electrical,Environment,4.88,2,20,51.78
Mechanical,Operator,9.09,4,16,87.73
Software,Environment,7.73,1,23,59.58
Software,Operator,9.65,2,7,62.25
Software,Deterioration,6.88,3,17,53.67
Mechanical,Deterioration,2.38,2,10,46.68
Software,Deterioration,5.13,2,10,46.74
Electrical,Environment,3.04,4,7,52.97
Software,Deterioration,10.0,2,18,63.25
Hydraulic,Environment,2.03,1,23,32.1
Software,Environment,0.46,5,20,51.87
Electrical,Operator,5.67,1,5,71.34
Hydraulic,Deterioration,8.41,3,16,61.43
Software,Operator,8.35,1,9,69.2
Electrical,Deterioration,9.08,4,10,87.1
Mechanical,Deterioration,5.04,2,5,62.38
Electrical,Operator,2.05,1,2,53.12
Hydraulic,Operator,5.22,2,16,61.04
Software,Deterioration,0.35,5,1,49.69
Mechanical,Operator,2.08,1,6,41.39
Hydraulic,Operator,6.01,3,15,56.06
Software,Operator,4.93,4,19,71.68
Hydraulic,Environment,9.73,5,18,78.33
Mechanical,Environment,0.88,4,5,58.03
Hydraulic,Deterioration,8.36,4,7,69.91
Electrical,Deterioration,8.32,5,13,87.63
Hydraulic,Deterioration,2.93,4,4,60.42
Software,Operator,9.5,1,22,83.26
Electrical,Deterioration,6.9,4,14,63.92
Mechanical,Deterioration,9.14,4,1,90.0
Mechanical,Operator,9.88,5,6,90.0
Electrical,Environment,6.51,1,10,43.81
Software,Environment,2.41,5,9,48.95
Software,Environment,4.07,4,3,50.59
Mechanical,Operator,7.83,2,9,64.69
Mechanical,Environment,9.13,5,2,90.0
Hydraulic,Deterioration,9.29,3,17,72.09
Software,Operator,9.87,5,1,90.0
Software,Environment,6.33,2,22,53.35
Hydraulic,Deterioration,5.43,4,4,67.74
Electrical,Environment,2.62,1,19,36.55
Hydraulic,Environment,4.04,2,1,50.79
Electrical,Deterioration,9.99,2,0,83.25
Software,Operator,9.92,3,1,78.74
Mechanical,Environment,3.21,3,23,54.96
Software,Deterioration,2.75,3,20,59.0
Mechanical,Operator,8.83,3,13,84.26
Hydraulic,Environment,3.57,2,2,49.19
Mechanical,Operator,2.71,4,21,62.53
Mechanical,Environment,6.35,1,8,46.55
Mechanical,Environment,5.33,5,6,74.76
Software,Environment,4.82,4,8,52.4
Mechanical,Deterioration,7.28,4,23,90.0
Software,Deterioration,7.1,2,1,74.02
Hydraulic,Operator,5.24,1,22,57.18
Hydraulic,Environment,2.04,2,8,38.35
Electrical,Deterioration,5.31,3,15,61.99
Electrical,Environment,5.42,5,16,57.87
Electrical,Operator,2.95,1,3,52.69
Hydraulic,Environment,1.49,3,23,41.03
Hydraulic,Deterioration,1.0,1,18,30.83
Hydraulic,Environment,3.23,2,6,46.59
Electrical,Environment,0.44,5,6,62.8
Electrical,Deterioration,2.35,4,4,59.95
Hydraulic,Deterioration,3.69,2,14,34.68
Software,Deterioration,9.98,3,15,66.8
Software,Deterioration,4.13,2,23,48.49
Hydraulic,Environment,2.62,4,20,61.35
Software,Deterioration,1.5,3,5,42.84
Electrical,Operator,7.78,4,22,81.08
Mechanical,Environment,0.64,3,0,52.45
Mechanical,Operator,6.98,5,15,87.15
Hydraulic,Operator,4.31,5,13,68.25
Software,Deterioration,6.48,3,13,63.56
Hydraulic,Deterioration,2.29,2,19,45.97
Hydraulic,Operator,7.12,1,8,48.45
Software,Deterioration,8.67,1,5,68.54
Hydraulic,Environment,1.36,1,11,24.91
Electrical,Deterioration,2.34,4,3,58.53
Electrical,Operator,7.33,4,17,83.45
Hydraulic,Environment,7.31,4,13,61.29
Hydraulic,Environment,4.19,5,6,70.23
Electrical,Operator,0.11,4,16,38.38
Electrical,Environment,1.76,5,3,60.72
Hydraulic,Operator,3.23,2,3,61.36
Mechanical,Environment,7.27,1,0,55.03
Software,Operator,7.7,3,23,82.68
Mechanical,Deterioration,5.82,3,19,51.54
Software,Environment,9.38,4,11,63.62
Electrical,Deterioration,1.49,2,9,37.76
Electrical,Environment,7.2,5,8,71.07
Hydraulic,Deterioration,0.41,2,22,44.77
Mechanical,Operator,1.93,4,8,48.2
Electrical,Deterioration,1.1,1,2,44.24
Electrical,Environment,6.6,1,16,41.1
Hydraulic,Operator,1.92,4,23,66.37
Electrical,Environment,5.59,3,20,59.56
Hydraulic,Deterioration,1.31,5,8,43.1
Mechanical,Operator,9.06,5,9,90.0
Mechanical,Operator,9.23,4,14,90.0
Electrical,Environment,2.02,3,4,40.31
Electrical,Deterioration,4.2,1,23,50.44
Electrical,Environment,2.33,4,7,48.85
Electrical,Environment,6.01,2,16,48.71
Software,Operator,7.71,3,22,70.01
Electrical,Environment,4.31,4,19,62.82
Mechanical,Environment,9.97,5,15,78.58
Software,Operator,5.95,5,1,86.89
Hydraulic,Environment,1.71,2,5,30.11
Mechanical,Deterioration,2.58,4,16,64.17
Software,Operator,0.71,1,8,38.81
Software,Environment,4.05,5,3,62.5
Software,Operator,8.47,2,2,83.59
Mechanical,Deterioration,9.71,2,13,66.83
Mechanical,Deterioration,0.87,1,14,31.17
Mechanical,Operator,4.35,2,17,63.96
Software,Deterioration,8.42,4,17,69.83
Software,Deterioration,0.19,4,21,45.19
Mechanical,Deterioration,7.09,5,21,90.0
Software,Deterioration,0.62,4,8,35.94
Electrical,Deterioration,0.06,1,14,31.52
Hydraulic,Deterioration,8.11,2,7,63.34
Mechanical,Operator,5.5,4,20,77.01
Mechanical,Deterioration,4.44,3,17,54.19
Hydraulic,Deterioration,1.71,3,18,44.4
Electrical,Environment,1.85,3,8,42.99
Electrical,Environment,6.08,4,16,59.12
Electrical,Environment,4.97,3,5,53.29
Hydraulic,Operator,7.62,5,12,72.45
Hydraulic,Operator,5.52,5,7,74.72
Hydraulic,Environment,4.24,4,22,53.09
Software,Operator,9.42,3,0,82.97
Hydraulic,Operator,3.7,4,5,74.95
Electrical,Operator,7.19,5,10,82.02
Software,Environment,1.63,2,15,33.23
Electrical,Environment,4.9,5,7,72.35
Software,Deterioration,3.26,1,16,38.7
Mechanical,Environment,2.97,4,7,45.38
Electrical,Environment,0.24,5,3,55.64
Electrical,Deterioration,6.12,2,5,55.55
Software,Environment,4.04,4,21,56.05
Mechanical,Operator,3.73,3,8,54.32
Hydraulic,Environment,8.15,2,17,50.52
Electrical,Environment,3.32,1,21,45.31
Electrical,Deterioration,6.8,4,22,70.61
Software,Operator,5.29,3,0,77.81
Electrical,Deterioration,3.13,2,8,42.01
Hydraulic,Deterioration,1.21,3,23,56.25
Hydraulic,Deterioration,9.93,2,5,82.9
Mechanical,Deterioration,3.37,4,22,73.98
Mechanical,Deterioration,4.58,4,14,65.94
Mechanical,Operator,4.35,4,17,74.78
Software,Operator,9.35,3,7,84.71
Electrical,Environment,2.65,4,22,50.46
Software,Deterioration,6.7,3,5,74.79
Hydraulic,Environment,0.37,3,7,39.89
Software,Deterioration,2.65,1,15,40.4
Electrical,Environment,3.34,4,1,50.47
Software,Deterioration,1.75,1,20,30.37
Hydraulic,Environment,4.36,4,11,51.77
Electrical,Operator,7.74,5,8,85.28
Software,Deterioration,7.44,4,0,79.05
Mechanical,Operator,9.18,1,9,58.2
Hydraulic,Environment,8.6,1,7,59.35
Hydraulic,Environment,7.94,1,18,51.31
Software,Deterioration,6.74,4,14,70.8
Mechanical,Environment,4.57,1,14,38.26
Electrical,Environment,2.47,4,3,58.26
Hydraulic,Environment,8.61,5,19,72.16
Software,Environment,4.96,2,10,44.89
Software,Deterioration,9.25,4,6,90.0
Software,Operator,4.86,4,2,66.47
Electrical,Operator,4.63,4,20,77.63
Mechanical,Environment,5.12,2,9,54.78
Software,Environment,1.93,5,1,58.69
Mechanical,Environment,6.46,5,4,84.65
Mechanical,Environment,8.5,4,4,88.1
Electrical,Deterioration,5.46,1,1,48.43
Software,Environment,4.78,1,22,37.82
Hydraulic,Environment,4.54,3,17,42.44
Software,Deterioration,4.71,3,15,44.94
Software,Operator,3.04,2,10,50.75
Mechanical,Deterioration,1.48,3,15,45.55
Hydraulic,Operator,5.85,4,18,69.87
Mechanical,Environment,8.8,5,10,81.13
Software,Environment,4.79,4,19,60.56
Mechanical,Environment,8.65,4,10,82.6
Hydraulic,Environment,9.7,2,19,57.81
Hydraulic,Environment,5.06,5,13,64.12
Hydraulic,Environment,1.63,3,21,38.25
Software,Operator,3.5,5,19,73.96
Electrical,Operator,9.75,3,11,70.67
Electrical,Environment,4.4,2,19,45.26
Electrical,Deterioration,6.53,3,19,65.29
Software,Environment,1.94,4,19,39.26
Electrical,Deterioration,9.02,3,8,69.18
Software,Deterioration,2.56,1,9,23.49
Electrical,Operator,5.77,1,5,69.32
Mechanical,Deterioration,5.13,2,8,54.56
Mechanical,Deterioration,6.98,4,14,74.8
Hydraulic,Environment,4.0,5,5,61.35
Software,Deterioration,6.62,1,10,43.32
Electrical,Environment,1.97,1,8,17.99
Hydraulic,Operator,2.41,2,15,49.41
Software,Environment,4.4,2,19,32.99
Mechanical,Environment,3.39,5,11,63.78
Mechanical,Environment,1.09,1,0,38.32
Mechanical,Operator,6.62,4,18,83.24
Hydraulic,Operator,9.37,2,20,73.76
Hydraulic,Operator,9.94,1,2,79.07
Hydraulic,Operator,3.94,1,14,50.87
Hydraulic,Deterioration,9.61,5,12,90.0
Software,Operator,7.74,4,23,90.0
Software,Environment,6.5,3,20,73.69
Electrical,Deterioration,9.02,3,8,79.45
Software,Deterioration,1.29,2,8,31.61
Software,Deterioration,10.0,4,19,81.29
Hydraulic,Operator,2.75,3,7,48.42
Software,Environment,7.01,1,4,46.24
Hydraulic,Operator,7.26,2,18,55.09
Electrical,Deterioration,5.79,4,12,75.11
Hydraulic,Environment,5.13,5,0,67.74
Electrical,Deterioration,6.14,1,1,63.37
Electrical,Environment,9.82,3,0,84.98
Electrical,Operator,6.43,3,22,81.27
Mechanical,Environment,0.92,4,17,37.86
Mechanical,Deterioration,0.46,1,8,18.13
Mechanical,Deterioration,4.94,1,12,49.02
Electrical,Environment,3.61,1,5,47.56
Software,Environment,2.94,3,21,59.06
Hydraulic,Deterioration,8.52,1,12,53.14
Hydraulic,Environment,4.91,5,21,68.75
Hydraulic,Environment,2.43,5,9,41.88
Mechanical,Deterioration,5.38,4,18,64.19
Hydraulic,Environment,9.05,2,23,66.04
Hydraulic,Environment,3.21,5,15,59.83
Software,Environment,4.42,1,17,37.74
Software,Deterioration,0.38,4,19,49.76
Electrical,Operator,6.46,3,1,70.76
Electrical,Operator,8.29,5,19,89.07
Electrical,Operator,9.48,1,9,73.87
Mechanical,Deterioration,0.03,2,1,39.27
Mechanical,Deterioration,5.33,2,14,45.15
Software,Environment,8.9,2,20,62.25
Electrical,Deterioration,9.12,5,6,90.0
