failure_type,cause,downtime_duration,repair_action_score,time_of_occurrence,historical_risk_score,machine_id
Mechanical,Environment,6.12,2,17,51.33,8
Electrical,Deterioration,9.7,5,18,87.95,9
Mechanical,Operator,2.49,3,2,65.7,10
Electrical,Deterioration,0.23,2,6,47.51,11
Hydraulic,Deterioration,5.4,2,8,46.25,12
Hydraulic,Deterioration,1.63,4,21,55.7,13
Hydraulic,Operator,4.45,5,3,80.75,14
Software,Operator,1.16,3,18,44.13,15
Mechanical,Deterioration,2.3,4,11,47.02,16
Mechanical,Environment,7.23,5,5,86.69,17
Mechanical,Operator,7.75,5,14,90.0,18
Mechanical,Deterioration,6.94,1,17,47.73,19
Software,Operator,2.08,2,9,44.82,20
Electrical,Environment,4.91,1,18,32.01,21
Mechanical,Environment,2.41,5,16,49.29,22
Software,Environment,2.95,2,15,30.91,23
Hydraulic,Environment,7.3,4,22,82.12,1
Software,Operator,4.45,4,14,69.14,2
Hydraulic,Operator,2.4,5,7,58.78,3
Mechanical,Environment,2.08,4,22,62.39,4
Mechanical,Environment,0.99,2,9,25.45,5
Hydraulic,Deterioration,4.24,4,0,68.03,6
Mechanical,Environment,7.92,3,22,79.62,7
Mechanical,Deterioration,9.58,2,11,71.32,8
Mechanical,Environment,0.47,5,8,55.52,9
Electrical,Environment,5.71,3,4,72.17,10
Electrical,Environment,8.42,3,20,79.26,11
Mechanical,Environment,7.25,4,17,65.99,12
Software,Deterioration,2.84,2,15,31.77,13
Hydraulic,Environment,3.86,3,12,36.51,14
Mechanical,Deterioration,3.74,5,18,68.91,15
Hydraulic,Deterioration,5.26,3,22,59.54,16
Software,Environment,9.43,5,23,90.0,17
Software,Environment,1.39,5,11,47.44,18
Software,Deterioration,8.91,5,21,90.0,19
Electrical,Environment,0.22,4,17,45.45,20
Electrical,Operator,5.86,3,4,66.41,21
Mechanical,Operator,0.11,1,2,45.5,22
Electrical,Operator,9.39,4,23,90.0,23
Mechanical,Deterioration,7.34,2,18,67.34,1
Software,Deterioration,8.4,3,2,68.04,2
Electrical,Environment,5.84,2,20,48.38,3
Electrical,Operator,8.43,5,21,90.0,4
Electrical,Operator,5.93,1,13,44.64,5
Software,Operator,0.13,1,19,18.58,6
Hydraulic,Deterioration,0.24,5,5,53.73,7
Hydraulic,Deterioration,7.93,2,13,53.45,8
Software,Operator,5.51,4,17,71.0,9
Hydraulic,Environment,3.73,1,19,34.98,10
Electrical,Operator,4.38,3,20,75.31,11
Hydraulic,Environment,0.22,4,20,42.39,12
Hydraulic,Deterioration,2.87,2,20,46.78,13
Electrical,Operator,2.67,1,19,40.67,14
Software,Operator,7.36,2,0,75.73,15
Electrical,Environment,6.87,2,13,61.28,16
Software,Deterioration,4.08,1,0,43.95,17
Software,Operator,0.5,2,7,34.26,18
Software,Operator,0.58,1,2,37.47,19
Software,Deterioration,4.16,4,16,48.34,20
Electrical,Operator,7.96,5,6,87.27,21
Mechanical,Deterioration,5.31,5,14,71.64,22
Software,Deterioration,7.1,1,6,60.55,23
Software,Operator,3.84,3,21,58.13,1
Mechanical,Operator,0.14,1,1,43.87,2
Electrical,Deterioration,1.34,5,1,70.12,3
Mechanical,Environment,6.65,4,12,63.57,4
Electrical,Operator,4.83,2,12,59.12,5
Hydraulic,Operator,2.7,3,11,57.28,6
Mechanical,Deterioration,7.94,2,19,56.6,7
Mechanical,Environment,7.32,3,11,66.8,8
Hydraulic,Deterioration,2.6,2,3,58.25,9
Hydraulic,Operator,8.39,5,18,90.0,10
Mechanical,Environment,2.95,1,3,49.77,11
Software,Deterioration,6.41,3,5,60.65,12
Mechanical,Deterioration,7.23,3,11,76.44,13
Electrical,Deterioration,6.11,5,22,74.81,14
Hydraulic,Operator,1.92,2,20,55.53,15
Mechanical,Deterioration,7.65,1,6,76.32,16
Electrical,Operator,7.7,5,9,83.63,17
Software,Operator,5.94,3,16,60.02,18
Electrical,Operator,7.95,5,16,87.47,19
Electrical,Deterioration,4.51,1,7,47.32,20
Software,Operator,7.47,3,9,67.67,21
Software,Environment,6.81,3,9,51.26,22
Mechanical,Operator,7.98,4,21,90.0,23
Hydraulic,Operator,5.83,2,4,71.79,1
Software,Operator,7.55,3,3,71.75,2
Software,Operator,4.39,1,22,44.1,3
Mechanical,Environment,9.43,4,12,66.72,4
Software,Environment,6.84,1,19,40.15,5
Electrical,Deterioration,1.48,5,4,66.24,6
Software,Deterioration,2.29,4,21,60.6,7
Mechanical,Deterioration,2.78,4,15,48.22,8
Hydraulic,Environment,8.04,2,4,56.06,9
Mechanical,Operator,5.18,3,11,68.45,10
Hydraulic,Operator,2.51,5,16,67.6,11
Mechanical,Operator,3.5,1,23,59.29,12
Mechanical,Operator,0.31,5,13,49.21,13
Electrical,Deterioration,8.36,3,17,76.09,14
Electrical,Operator,3.91,2,2,69.39,15
Hydraulic,Deterioration,9.28,1,1,78.1,16
Mechanical,Deterioration,0.04,3,12,28.99,17
Mechanical,Deterioration,9.36,5,21,90.0,18
Mechanical,Deterioration,9.66,4,15,90.0,19
Mechanical,Operator,3.46,3,4,68.7,20
Electrical,Operator,9.55,4,23,86.87,21
Software,Deterioration,0.37,1,18,23.92,22
Mechanical,Operator,2.47,3,16,48.28,23
Electrical,Deterioration,3.93,5,9,63.87,1
Mechanical,Deterioration,9.05,3,22,75.5,2
Hydraulic,Deterioration,6.85,2,4,69.84,3
Software,Environment,2.15,4,6,51.24,4
Electrical,Deterioration,6.1,1,15,38.98,5
Mechanical,Environment,2.67,3,14,46.49,6
Hydraulic,Deterioration,0.38,4,2,54.61,7
Hydraulic,Deterioration,3.37,3,7,46.13,8
Mechanical,Environment,7.05,3,4,62.27,9
Electrical,Deterioration,9.13,1,2,65.82,10
Software,Deterioration,7.27,4,21,85.2,11
Hydraulic,Operator,8.56,4,22,90.0,12
Mechanical,Deterioration,3.07,3,2,59.62,13
Software,Deterioration,9.11,1,23,66.55,14
Hydraulic,Operator,2.48,2,3,51.26,15
Electrical,Environment,3.24,4,15,40.94,16
Electrical,Deterioration,5.45,4,16,71.46,17
Hydraulic,Environment,0.59,3,22,49.71,18
Electrical,Operator,0.61,4,6,51.1,19
Software,Deterioration,8.8,5,10,75.4,20
Hydraulic,Operator,9.8,3,15,69.58,21
Software,Deterioration,5.76,2,1,51.2,22
Electrical,Deterioration,9.18,5,8,90.0,23
Electrical,Deterioration,6.75,2,11,64.11,1
Hydraulic,Operator,2.37,4,10,55.59,2
Electrical,Operator,4.82,4,21,75.02,3
Software,Deterioration,0.62,1,11,29.83,4
Software,Deterioration,7.93,1,19,43.15,5
Hydraulic,Deterioration,1.87,5,10,51.64,6
Mechanical,Environment,1.7,1,11,31.05,7
Software,Operator,6.32,4,8,59.68,8
Hydraulic,Deterioration,8.98,5,22,90.0,9
Hydraulic,Operator,7.91,3,0,71.91,10
Software,Deterioration,8.9,1,10,46.91,11
Software,Environment,6.88,1,13,46.5,12
Hydraulic,Environment,1.88,3,22,56.17,13
Electrical,Deterioration,3.74,3,6,50.96,14
Software,Deterioration,5.21,3,9,48.05,15
Electrical,Deterioration,9.11,1,21,74.46,16
Mechanical,Deterioration,9.06,1,12,71.25,17
Software,Operator,2.89,5,4,78.54,18
Hydraulic,Operator,7.09,4,10,77.51,19
Mechanical,Deterioration,1.41,2,6,50.51,20
Electrical,Operator,5.5,2,17,65.06,21
Electrical,Deterioration,8.93,3,21,75.98,22
Hydraulic,Environment,3.9,1,17,27.44,23
Electrical,Operator,1.36,5,3,77.8,1
Mechanical,Deterioration,4.0,5,16,68.4,2
Software,Environment,6.86,5,10,73.76,3
Electrical,Deterioration,5.58,3,14,58.14,4
Electrical,Environment,3.15,1,8,33.33,5
Software,Deterioration,0.43,2,13,20.94,6
Electrical,Operator,6.37,4,0,83.7,7
Hydraulic,Deterioration,4.78,3,9,54.89,8
Electrical,Environment,4.0,4,4,62.13,9
Software,Deterioration,8.97,3,3,69.69,10
Hydraulic,Deterioration,8.63,1,12,65.22,11
Mechanical,Environment,6.35,4,13,72.47,12
Mechanical,Operator,8.1,3,3,89.1,13
Software,Operator,2.62,1,10,46.02,14
Software,Operator,4.28,5,19,72.24,15
Hydraulic,Deterioration,5.5,2,22,52.07,16
Mechanical,Operator,0.18,5,5,73.58,17
Mechanical,Environment,8.39,5,9,78.4,18
Electrical,Operator,4.37,2,21,70.15,19
Electrical,Environment,4.88,2,20,51.78,20
Mechanical,Operator,9.09,4,16,87.73,21
Software,Environment,7.73,1,23,59.58,22
Software,Operator,9.65,2,7,62.25,23
Software,Deterioration,6.88,3,17,53.67,1
Mechanical,Deterioration,2.38,2,10,46.68,2
Software,Deterioration,5.13,2,10,46.74,3
Electrical,Environment,3.04,4,7,52.97,4
Software,Deterioration,10.0,2,18,63.25,5
Hydraulic,Environment,2.03,1,23,32.1,6
Software,Environment,0.46,5,20,51.87,7
Electrical,Operator,5.67,1,5,71.34,8
Hydraulic,Deterioration,8.41,3,16,61.43,9
Software,Operator,8.35,1,9,69.2,10
Electrical,Deterioration,9.08,4,10,87.1,11
Mechanical,Deterioration,5.04,2,5,62.38,12
Electrical,Operator,2.05,1,2,53.12,13
Hydraulic,Operator,5.22,2,16,61.04,14
Software,Deterioration,0.35,5,1,49.69,15
Mechanical,Operator,2.08,1,6,41.39,16
Hydraulic,Operator,6.01,3,15,56.06,17
Software,Operator,4.93,4,19,71.68,18
Hydraulic,Environment,9.73,5,18,78.33,19
Mechanical,Environment,0.88,4,5,58.03,20
Hydraulic,Deterioration,8.36,4,7,69.91,21
Electrical,Deterioration,8.32,5,13,87.63,22
Hydraulic,Deterioration,2.93,4,4,60.42,23
Software,Operator,9.5,1,22,83.26,1
Electrical,Deterioration,6.9,4,14,63.92,2
Mechanical,Deterioration,9.14,4,1,90.0,3
Mechanical,Operator,9.88,5,6,90.0,4
Electrical,Environment,6.51,1,10,43.81,5
Software,Environment,2.41,5,9,48.95,6
Software,Environment,4.07,4,3,50.59,7
Mechanical,Operator,7.83,2,9,64.69,8
Mechanical,Environment,9.13,5,2,90.0,9
Hydraulic,Deterioration,9.29,3,17,72.09,10
Software,Operator,9.87,5,1,90.0,11
Software,Environment,6.33,2,22,53.35,12
Hydraulic,Deterioration,5.43,4,4,67.74,13
Electrical,Environment,2.62,1,19,36.55,14
Hydraulic,Environment,4.04,2,1,50.79,15
Electrical,Deterioration,9.99,2,0,83.25,16
Software,Operator,9.92,3,1,78.74,17
Mechanical,Environment,3.21,3,23,54.96,18
Software,Deterioration,2.75,3,20,59.0,19
Mechanical,Operator,8.83,3,13,84.26,20
Hydraulic,Environment,3.57,2,2,49.19,21
Mechanical,Operator,2.71,4,21,62.53,22
Mechanical,Environment,6.35,1,8,46.55,23
Mechanical,Environment,5.33,5,6,74.76,1
Software,Environment,4.82,4,8,52.4,2
Mechanical,Deterioration,7.28,4,23,90.0,3
Software,Deterioration,7.1,2,1,74.02,4
Hydraulic,Operator,5.24,1,22,57.18,5
Hydraulic,Environment,2.04,2,8,38.35,6
Electrical,Deterioration,5.31,3,15,61.99,7
Electrical,Environment,5.42,5,16,57.87,8
Electrical,Operator,2.95,1,3,52.69,9
Hydraulic,Environment,1.49,3,23,41.03,10
Hydraulic,Deterioration,1.0,1,18,30.83,11
Hydraulic,Environment,3.23,2,6,46.59,12
Electrical,Environment,0.44,5,6,62.8,13
Electrical,Deterioration,2.35,4,4,59.95,14
Hydraulic,Deterioration,3.69,2,14,34.68,15
Software,Deterioration,9.98,3,15,66.8,16
Software,Deterioration,4.13,2,23,48.49,17
Hydraulic,Environment,2.62,4,20,61.35,18
Software,Deterioration,1.5,3,5,42.84,19
Electrical,Operator,7.78,4,22,81.08,20
Mechanical,Environment,0.64,3,0,52.45,21
Mechanical,Operator,6.98,5,15,87.15,22
Hydraulic,Operator,4.31,5,13,68.25,23
Software,Deterioration,6.48,3,13,63.56,1
Hydraulic,Deterioration,2.29,2,19,45.97,2
Hydraulic,Operator,7.12,1,8,48.45,3
Software,Deterioration,8.67,1,5,68.54,4
Hydraulic,Environment,1.36,1,11,24.91,5
Electrical,Deterioration,2.34,4,3,58.53,6
Electrical,Operator,7.33,4,17,83.45,7
Hydraulic,Environment,7.31,4,13,61.29,8
Hydraulic,Environment,4.19,5,6,70.23,9
Electrical,Operator,0.11,4,16,38.38,10
Electrical,Environment,1.76,5,3,60.72,11
Hydraulic,Operator,3.23,2,3,61.36,12
Mechanical,Environment,7.27,1,0,55.03,13
Software,Operator,7.7,3,23,82.68,14
Mechanical,Deterioration,5.82,3,19,51.54,15
Software,Environment,9.38,4,11,63.62,16
Electrical,Deterioration,1.49,2,9,37.76,17
Electrical,Environment,7.2,5,8,71.07,18
Hydraulic,Deterioration,0.41,2,22,44.77,19
Mechanical,Operator,1.93,4,8,48.2,20
Electrical,Deterioration,1.1,1,2,44.24,21
Electrical,Environment,6.6,1,16,41.1,22
Hydraulic,Operator,1.92,4,23,66.37,23
Electrical,Environment,5.59,3,20,59.56,1
Hydraulic,Deterioration,1.31,5,8,43.1,2
Mechanical,Operator,9.06,5,9,90.0,3
Mechanical,Operator,9.23,4,14,90.0,4
Electrical,Environment,2.02,3,4,40.31,5
Electrical,Deterioration,4.2,1,23,50.44,6
Electrical,Environment,2.33,4,7,48.85,7
Electrical,Environment,6.01,2,16,48.71,8
Software,Operator,7.71,3,22,70.01,9
Electrical,Environment,4.31,4,19,62.82,10
Mechanical,Environment,9.97,5,15,78.58,11
Software,Operator,5.95,5,1,86.89,12
Hydraulic,Environment,1.71,2,5,30.11,13
Mechanical,Deterioration,2.58,4,16,64.17,14
Software,Operator,0.71,1,8,38.81,15
Software,Environment,4.05,5,3,62.5,16
Software,Operator,8.47,2,2,83.59,17
Mechanical,Deterioration,9.71,2,13,66.83,18
Mechanical,Deterioration,0.87,1,14,31.17,19
Mechanical,Operator,4.35,2,17,63.96,20
Software,Deterioration,8.42,4,17,69.83,21
Software,Deterioration,0.19,4,21,45.19,22
Mechanical,Deterioration,7.09,5,21,90.0,23
Software,Deterioration,0.62,4,8,35.94,1
Electrical,Deterioration,0.06,1,14,31.52,2
Hydraulic,Deterioration,8.11,2,7,63.34,3
Mechanical,Operator,5.5,4,20,77.01,4
Mechanical,Deterioration,4.44,3,17,54.19,5
Hydraulic,Deterioration,1.71,3,18,44.4,6
Electrical,Environment,1.85,3,8,42.99,7
Electrical,Environment,6.08,4,16,59.12,8
Electrical,Environment,4.97,3,5,53.29,9
Hydraulic,Operator,7.62,5,12,72.45,10
Hydraulic,Operator,5.52,5,7,74.72,11
Hydraulic,Environment,4.24,4,22,53.09,12
Software,Operator,9.42,3,0,82.97,13
Hydraulic,Operator,3.7,4,5,74.95,14
Electrical,Operator,7.19,5,10,82.02,15
Software,Environment,1.63,2,15,33.23,16
Electrical,Environment,4.9,5,7,72.35,17
Software,Deterioration,3.26,1,16,38.7,18
Mechanical,Environment,2.97,4,7,45.38,19
Electrical,Environment,0.24,5,3,55.64,20
Electrical,Deterioration,6.12,2,5,55.55,21
Software,Environment,4.04,4,21,56.05,22
Mechanical,Operator,3.73,3,8,54.32,23
Hydraulic,Environment,8.15,2,17,50.52,1
Electrical,Environment,3.32,1,21,45.31,2
Electrical,Deterioration,6.8,4,22,70.61,3
Software,Operator,5.29,3,0,77.81,4
Electrical,Deterioration,3.13,2,8,42.01,5
Hydraulic,Deterioration,1.21,3,23,56.25,6
Hydraulic,Deterioration,9.93,2,5,82.9,7
Mechanical,Deterioration,3.37,4,22,73.98,8
Mechanical,Deterioration,4.58,4,14,65.94,9
Mechanical,Operator,4.35,4,17,74.78,10
Software,Operator,9.35,3,7,84.71,11
Electrical,Environment,2.65,4,22,50.46,12
Software,Deterioration,6.7,3,5,74.79,13
Hydraulic,Environment,0.37,3,7,39.89,14
Software,Deterioration,2.65,1,15,40.4,15
Electrical,Environment,3.34,4,1,50.47,16
Software,Deterioration,1.75,1,20,30.37,17
Hydraulic,Environment,4.36,4,11,51.77,18
Electrical,Operator,7.74,5,8,85.28,19
Software,Deterioration,7.44,4,0,79.05,20
Mechanical,Operator,9.18,1,9,58.2,21
Hydraulic,Environment,8.6,1,7,59.35,22
Hydraulic,Environment,7.94,1,18,51.31,23
Software,Deterioration,6.74,4,14,70.8,1
Mechanical,Environment,4.57,1,14,38.26,2
Electrical,Environment,2.47,4,3,58.26,3
Hydraulic,Environment,8.61,5,19,72.16,4
Software,Environment,4.96,2,10,44.89,5
Software,Deterioration,9.25,4,6,90.0,6
Software,Operator,4.86,4,2,66.47,7
Electrical,Operator,4.63,4,20,77.63,8
Mechanical,Environment,5.12,2,9,54.78,9
Software,Environment,1.93,5,1,58.69,10
Mechanical,Environment,6.46,5,4,84.65,11
Mechanical,Environment,8.5,4,4,88.1,12
Electrical,Deterioration,5.46,1,1,48.43,13
Software,Environment,4.78,1,22,37.82,14
Hydraulic,Environment,4.54,3,17,42.44,15
Software,Deterioration,4.71,3,15,44.94,16
Software,Operator,3.04,2,10,50.75,17
Mechanical,Deterioration,1.48,3,15,45.55,18
Hydraulic,Operator,5.85,4,18,69.87,19
Mechanical,Environment,8.8,5,10,81.13,20
Software,Environment,4.79,4,19,60.56,21
Mechanical,Environment,8.65,4,10,82.6,22
Hydraulic,Environment,9.7,2,19,57.81,23
Hydraulic,Environment,5.06,5,13,64.12,1
Hydraulic,Environment,1.63,3,21,38.25,2
Software,Operator,3.5,5,19,73.96,3
Electrical,Operator,9.75,3,11,70.67,4
Electrical,Environment,4.4,2,19,45.26,5
Electrical,Deterioration,6.53,3,19,65.29,6
Software,Environment,1.94,4,19,39.26,7
Electrical,Deterioration,9.02,3,8,69.18,8
Software,Deterioration,2.56,1,9,23.49,9
Electrical,Operator,5.77,1,5,69.32,10
Mechanical,Deterioration,5.13,2,8,54.56,11
Mechanical,Deterioration,6.98,4,14,74.8,12
Hydraulic,Environment,4.0,5,5,61.35,13
Software,Deterioration,6.62,1,10,43.32,14
Electrical,Environment,1.97,1,8,17.99,15
Hydraulic,Operator,2.41,2,15,49.41,16
Software,Environment,4.4,2,19,32.99,17
Mechanical,Environment,3.39,5,11,63.78,18
Mechanical,Environment,1.09,1,0,38.32,19
Mechanical,Operator,6.62,4,18,83.24,20
Hydraulic,Operator,9.37,2,20,73.76,21
Hydraulic,Operator,9.94,1,2,79.07,22
Hydraulic,Operator,3.94,1,14,50.87,23
Hydraulic,Deterioration,9.61,5,12,90.0,1
Software,Operator,7.74,4,23,90.0,2
Software,Environment,6.5,3,20,73.69,3
Electrical,Deterioration,9.02,3,8,79.45,4
Software,Deterioration,1.29,2,8,31.61,5
Software,Deterioration,10.0,4,19,81.29,6
Hydraulic,Operator,2.75,3,7,48.42,7
Software,Environment,7.01,1,4,46.24,8
Hydraulic,Operator,7.26,2,18,55.09,9
Electrical,Deterioration,5.79,4,12,75.11,10
Hydraulic,Environment,5.13,5,0,67.74,11
Electrical,Deterioration,6.14,1,1,63.37,12
Electrical,Environment,9.82,3,0,84.98,13
Electrical,Operator,6.43,3,22,81.27,14
Mechanical,Environment,0.92,4,17,37.86,15
Mechanical,Deterioration,0.46,1,8,18.13,16
Mechanical,Deterioration,4.94,1,12,49.02,17
Electrical,Environment,3.61,1,5,47.56,18
Software,Environment,2.94,3,21,59.06,19
Hydraulic,Deterioration,8.52,1,12,53.14,20
Hydraulic,Environment,4.91,5,21,68.75,21
Hydraulic,Environment,2.43,5,9,41.88,22
Mechanical,Deterioration,5.38,4,18,64.19,23
Hydraulic,Environment,9.05,2,23,66.04,1
Hydraulic,Environment,3.21,5,15,59.83,2
Software,Environment,4.42,1,17,37.74,3
Software,Deterioration,0.38,4,19,49.76,4
Electrical,Operator,6.46,3,1,70.76,5
Electrical,Operator,8.29,5,19,89.07,6
Electrical,Operator,9.48,1,9,73.87,7
Mechanical,Deterioration,0.03,2,1,39.27,8
Mechanical,Deterioration,5.33,2,14,45.15,9
Software,Environment,8.9,2,20,62.25,10
Electrical,Deterioration,9.12,5,6,90.0,11
