temperature,humidity,air_quality,lighting,noise,vibration,environment_risk_score
21.48,39.95,409.51,667.62,86.24,7.52,33.39
40.42,30.67,159.37,667.98,90.6,4.8,31.76
29.13,71.93,198.61,370.66,98.93,3.19,34.36
44.48,75.12,478.9,336.41,67.94,7.1,64.55
24.07,30.0,219.38,251.04,61.98,4.23,24.53
36.55,59.0,15.39,756.29,118.41,7.16,37.69
34.0,46.07,349.76,915.47,44.14,6.62,36.84
26.98,56.66,489.16,568.41,83.52,6.5,43.29
25.77,88.86,154.54,462.36,43.47,1.31,22.55
35.97,33.24,142.28,725.71,96.08,3.69,32.32
22.46,60.72,468.82,705.04,114.24,0.4,45.93
37.28,35.24,79.98,119.16,99.35,8.88,63.5
37.08,52.92,307.65,453.98,100.39,7.61,62.29
33.52,54.87,487.18,231.74,71.48,9.56,63.67
44.53,38.66,367.04,838.85,52.6,2.85,34.7
33.3,57.68,199.46,787.41,51.81,8.6,33.97
24.79,76.01,193.2,626.58,107.04,4.17,35.33
25.72,37.28,197.63,932.6,74.64,0.9,18.88
37.3,77.26,258.07,373.07,100.63,1.22,53.6
30.14,62.3,170.24,145.51,95.17,6.25,44.51
29.63,76.93,25.6,625.76,85.49,6.13,33.96
39.94,43.58,219.14,723.13,73.19,4.04,35.11
43.06,75.35,476.36,109.16,113.2,2.41,71.49
24.52,62.6,102.13,770.68,97.64,0.12,23.38
38.46,75.75,283.58,519.74,91.15,8.08,64.57
32.67,39.94,437.86,612.15,103.47,6.8,53.15
22.28,86.97,276.36,790.53,106.85,7.89,45.05
44.83,63.42,272.65,792.76,83.38,6.11,59.99
23.5,83.45,297.28,306.93,92.62,2.62,40.51
22.22,56.9,20.57,531.98,84.85,1.3,19.21
31.69,53.16,80.53,645.27,89.28,7.0,37.97
22.51,83.76,259.39,575.19,48.2,5.25,40.28
38.47,88.2,306.31,791.76,65.05,0.76,43.06
38.54,85.35,330.56,671.93,65.71,2.86,36.53
42.29,70.44,273.45,851.26,78.94,8.29,59.1
44.81,87.69,325.09,613.52,83.93,3.87,57.95
27.35,51.71,383.93,309.54,83.22,3.51,39.92
33.81,64.51,484.34,306.87,97.37,6.4,55.15
37.52,47.75,59.27,988.54,117.47,3.66,39.03
22.27,32.09,414.41,246.4,83.97,5.06,36.42
42.68,37.44,24.7,899.92,57.56,4.59,36.84
36.41,64.95,400.35,804.29,100.09,2.62,36.69
41.53,34.62,7.4,931.98,83.17,1.75,30.72
44.4,63.88,146.08,207.28,60.23,2.09,44.69
22.16,87.7,255.08,327.88,67.64,1.12,29.21
44.17,45.33,180.19,424.81,54.64,5.98,46.47
32.3,72.03,481.2,596.56,77.79,7.85,55.58
27.17,73.7,36.14,386.14,76.37,5.55,33.16
43.7,48.64,482.58,541.76,65.19,9.48,61.09
43.15,82.32,32.93,234.45,95.71,5.72,50.18
44.62,79.77,133.42,921.43,70.32,7.45,53.05
25.15,31.32,484.52,666.64,74.2,3.9,28.44
27.49,80.3,228.78,592.63,114.97,4.0,44.44
31.58,46.17,342.9,606.56,76.01,7.5,41.47
41.06,55.32,490.04,368.55,95.86,5.41,63.74
44.25,82.81,140.41,357.43,84.99,5.39,48.32
41.63,70.65,393.21,831.68,96.61,0.86,48.36
37.04,33.12,425.48,161.77,62.36,3.04,41.44
34.74,64.01,262.91,143.35,73.0,6.59,54.43
25.12,61.29,377.69,942.79,117.46,5.67,53.44
43.99,34.09,459.72,156.99,47.11,9.95,63.22
43.46,56.72,121.81,116.33,108.95,8.8,70.95
20.47,74.46,404.17,463.01,82.84,8.26,47.68
27.28,40.75,132.45,501.78,118.6,5.35,40.49
28.34,52.16,118.11,470.25,68.35,1.64,30.32
30.38,30.85,314.63,611.72,112.07,4.57,40.3
35.66,81.87,415.26,315.81,100.7,5.48,55.92
21.73,62.47,208.44,515.45,65.33,5.14,38.31
36.73,48.39,217.21,152.74,100.81,2.12,43.33
38.49,32.26,182.28,677.06,49.53,6.23,43.07
24.73,75.0,403.61,152.52,57.13,8.89,60.0
20.38,49.43,374.04,865.38,72.48,5.82,40.8
25.61,76.67,305.34,573.55,81.54,8.6,47.61
39.39,35.39,328.89,265.73,51.93,6.85,52.82
40.47,82.33,284.03,594.2,110.68,2.29,60.79
42.52,73.11,107.21,992.35,55.31,4.67,47.47
35.78,80.14,253.24,898.06,42.39,4.85,37.85
39.04,55.05,6.57,520.63,64.66,6.27,24.17
39.66,38.31,123.4,350.79,92.58,7.83,46.38
33.03,31.54,87.22,499.34,63.22,2.8,17.32
38.64,60.58,50.14,943.56,81.22,2.11,20.26
41.46,71.88,133.72,131.8,112.39,7.46,62.59
22.59,65.82,335.45,576.21,75.57,6.98,40.7
41.45,30.62,149.2,772.87,65.63,5.87,43.29
43.48,74.5,199.02,551.1,46.28,0.98,46.84
26.18,88.36,444.54,619.86,80.07,5.16,37.8
20.41,88.75,25.68,129.02,49.89,1.59,30.69
34.41,72.36,181.05,835.42,64.87,8.05,38.29
29.09,87.98,87.17,829.56,66.8,4.4,34.16
22.4,51.15,121.15,357.43,100.24,3.02,30.53
25.09,76.28,99.39,213.09,64.48,8.51,44.14
27.46,62.11,470.97,944.47,93.63,1.49,41.22
43.17,57.85,59.3,156.38,61.32,8.33,60.07
28.76,58.5,92.0,555.49,101.54,9.63,51.27
27.37,88.88,411.9,859.37,58.33,5.71,40.45
37.2,59.55,9.52,829.16,94.51,2.64,32.06
25.81,51.94,461.0,533.29,70.77,4.16,44.04
25.27,80.41,114.95,718.01,46.51,9.99,33.04
23.72,38.96,400.47,543.06,77.17,2.92,30.17
37.8,55.32,315.99,279.31,84.44,8.5,53.25
42.75,72.24,58.94,373.37,71.8,1.96,44.27
20.73,51.25,102.91,737.13,47.09,9.69,34.79
39.81,33.47,449.84,856.39,59.47,1.81,44.27
37.58,73.31,228.1,994.39,92.86,9.5,50.2
27.91,67.91,471.83,529.88,62.32,7.42,45.71
37.63,79.54,330.78,621.14,73.14,6.37,53.24
38.57,49.34,405.92,866.97,113.87,4.89,46.95
40.41,88.85,380.98,419.95,84.84,1.0,46.05
26.97,45.54,31.22,918.44,85.89,5.4,21.72
27.28,77.41,497.26,188.25,94.71,6.19,58.7
28.42,81.06,470.49,985.7,68.19,1.11,34.59
24.25,46.54,120.53,831.63,117.73,1.81,21.45
40.04,71.54,421.67,611.76,42.13,9.31,66.5
32.79,54.59,285.56,813.94,65.87,4.92,25.96
31.96,65.36,467.0,819.22,52.62,5.04,34.77
23.54,89.86,206.96,448.05,59.08,8.14,54.25
30.2,32.65,406.58,647.61,40.76,8.94,50.33
31.41,47.65,369.9,183.52,114.86,8.93,69.45
42.86,41.0,287.97,705.29,96.55,4.83,48.21
41.81,32.0,218.91,134.9,54.87,5.29,54.4
44.75,88.62,422.93,498.39,80.86,6.44,69.98
41.23,58.12,178.62,340.97,114.47,9.06,68.06
22.4,32.41,406.22,747.89,47.66,6.97,27.21
23.91,89.27,136.75,195.67,45.77,6.72,36.44
42.32,89.37,45.27,523.66,86.39,1.21,45.77
42.96,78.17,440.98,658.54,50.82,9.72,76.16
42.98,39.04,71.21,859.19,106.47,1.79,31.32
32.74,78.01,379.28,955.98,72.62,6.76,41.79
27.27,33.99,111.98,377.71,48.66,7.06,32.23
27.65,60.69,25.99,850.17,78.11,6.43,35.09
28.65,55.42,482.17,237.32,92.38,2.01,35.48
23.71,50.39,204.23,260.24,82.99,5.43,31.16
27.13,82.8,90.39,317.31,70.14,0.18,21.41
33.53,70.13,299.29,325.93,88.89,3.67,51.2
28.65,43.15,323.55,301.21,85.75,1.86,33.51
37.11,84.61,406.76,254.82,117.85,3.68,58.37
21.46,68.68,123.16,371.86,102.23,5.54,37.03
27.18,73.83,149.45,542.44,78.4,7.42,49.63
44.43,65.31,457.14,619.97,91.59,3.88,51.06
44.2,51.31,68.6,958.88,40.74,4.65,27.09
37.22,58.32,258.41,309.75,95.7,8.19,49.02
40.62,74.48,92.24,271.75,89.56,4.11,39.55
35.75,67.41,291.72,692.99,61.94,4.8,32.74
28.76,58.49,67.21,920.35,103.59,9.06,45.2
21.52,62.73,483.25,918.36,100.44,0.64,35.26
25.07,42.16,395.41,963.05,99.13,5.93,46.38
34.42,38.29,129.48,591.7,57.69,6.65,35.68
43.62,85.94,418.24,896.55,56.19,8.76,67.02
37.61,76.86,372.26,506.23,92.58,6.37,62.79
43.11,76.65,497.12,386.57,49.26,0.92,48.76
30.05,46.18,229.88,892.19,66.68,5.96,36.14
24.9,75.17,321.61,614.41,100.85,2.81,44.33
30.11,76.38,449.98,313.74,113.94,1.99,56.06
28.77,41.51,409.42,714.28,100.81,1.79,29.84
35.72,64.18,320.55,841.71,105.95,1.9,52.06
40.07,33.93,117.81,963.68,82.22,2.2,35.37
34.99,58.97,370.1,898.97,72.7,3.68,44.78
42.23,87.41,3.95,439.05,104.42,2.76,46.93
25.83,62.42,441.47,395.6,116.64,4.86,55.28
32.96,58.64,213.02,160.26,119.35,6.41,60.96
24.81,69.82,149.82,652.32,101.36,5.96,37.55
40.52,66.43,58.16,765.7,48.37,5.27,36.98
35.65,52.78,297.15,120.95,65.02,0.51,37.69
29.69,58.28,29.64,365.8,57.43,6.3,36.0
25.71,79.81,300.07,605.7,48.65,2.08,27.25
26.97,89.2,213.13,238.99,45.2,7.96,40.45
44.1,71.29,231.5,279.83,94.75,8.26,75.32
44.07,65.55,306.77,348.92,40.83,7.43,65.35
37.37,80.97,261.74,633.15,54.79,4.11,36.26
29.58,63.29,76.79,998.58,48.62,0.47,22.76
29.85,53.03,7.89,746.17,104.54,1.36,24.51
32.25,33.3,464.77,906.2,117.91,4.86,47.28
36.11,48.74,314.57,180.52,117.48,3.63,44.11
24.54,82.77,130.69,320.63,63.49,8.03,46.05
21.39,52.08,89.54,907.06,80.3,0.09,26.33
23.97,34.08,29.75,625.24,119.23,2.36,26.33
40.65,70.55,6.15,177.75,118.8,2.69,50.8
28.65,63.12,365.12,170.94,77.96,7.01,40.13
22.79,64.39,414.87,234.9,81.28,4.11,45.6
37.28,71.79,329.81,346.44,70.94,2.67,50.96
35.63,67.53,398.29,857.29,85.32,7.99,46.41
26.06,83.23,136.76,431.89,46.41,5.57,23.4
36.32,37.04,246.35,722.71,91.89,3.63,39.88
22.69,47.15,55.43,998.74,48.34,3.01,5.4
43.16,79.25,362.34,557.96,44.3,4.12,43.1
40.75,59.14,138.92,657.43,93.11,6.44,51.52
20.25,51.39,243.49,143.24,101.09,0.58,42.98
43.32,72.82,403.76,718.39,78.36,4.81,55.67
39.46,45.25,430.6,486.08,103.46,0.64,44.0
27.77,54.44,28.63,995.6,41.3,2.07,2.69
42.78,57.03,243.62,739.92,104.52,1.26,49.34
20.14,84.23,100.58,791.87,90.74,0.24,34.2
34.94,42.83,165.82,995.44,100.67,0.01,38.19
42.75,39.99,81.5,285.92,71.87,9.89,65.56
29.03,80.59,390.76,905.09,88.51,2.73,35.0
29.0,61.65,454.26,195.57,49.2,2.13,40.42
42.98,77.54,224.86,129.82,96.19,4.97,70.06
27.71,35.39,493.93,141.95,68.86,8.59,41.63
23.31,81.3,23.22,708.23,116.09,9.4,41.98
28.95,35.8,421.03,753.47,98.75,4.26,42.28
21.27,87.67,172.11,806.52,49.66,9.11,31.21
29.76,33.42,456.32,411.76,85.1,7.26,45.99
35.56,48.7,378.3,699.08,87.85,9.82,58.5
30.93,53.85,459.33,521.72,90.19,6.41,52.57
34.13,75.29,147.45,933.51,40.81,6.3,41.76
42.43,32.77,12.09,886.99,49.76,6.27,20.76
25.42,47.25,233.58,504.11,99.92,9.93,57.84
36.72,60.65,97.95,878.25,90.03,9.67,48.79
40.38,75.37,0.45,942.82,60.68,8.07,29.03
31.54,56.65,405.83,641.47,111.24,5.14,48.71
20.59,71.7,364.97,908.74,75.99,3.77,35.39
25.8,43.67,253.11,269.7,113.11,1.07,37.29
44.2,48.92,216.62,808.76,58.92,9.07,52.29
38.83,65.16,242.57,404.2,105.73,1.85,42.43
24.76,38.32,440.14,497.93,74.67,8.2,41.21
35.14,30.84,388.72,144.44,109.58,1.27,50.34
27.25,61.07,271.79,908.5,84.35,3.83,23.21
35.13,85.01,63.87,660.06,105.42,2.28,33.01
36.72,45.22,294.39,400.26,49.99,0.45,31.96
33.17,50.06,36.71,273.67,57.82,5.98,33.82
43.86,65.73,47.1,882.84,94.89,0.83,38.75
33.29,64.06,173.05,113.0,116.76,9.85,70.91
43.66,62.55,139.11,595.35,114.45,5.62,63.5
22.24,49.14,137.79,442.99,40.89,5.27,15.62
29.51,43.23,391.42,811.53,60.71,5.98,34.43
31.63,67.83,204.56,435.81,92.67,3.98,40.53
34.91,88.81,54.07,494.15,79.49,3.45,30.67
44.53,53.42,373.71,281.58,55.88,4.72,58.7
38.46,63.42,180.71,749.53,62.53,1.0,43.4
32.77,46.27,26.47,299.75,67.94,4.28,31.81
32.12,57.82,101.56,884.99,58.06,6.97,33.8
26.5,41.43,372.36,771.54,69.77,1.83,29.36
36.36,70.32,35.81,893.8,75.25,7.75,29.11
29.1,41.92,347.79,126.6,75.56,0.91,39.54
34.49,57.44,179.61,608.78,81.38,6.41,33.74
23.35,68.86,191.49,831.39,90.53,9.33,41.03
43.35,80.39,450.43,484.09,52.96,2.53,56.83
23.62,83.44,366.44,424.68,45.19,3.75,31.22
35.14,66.72,274.26,335.64,98.63,9.3,58.27
37.32,89.63,124.0,726.98,68.85,4.31,33.65
26.52,79.94,177.38,402.31,54.12,9.07,38.28
32.13,52.53,71.45,243.9,108.03,2.31,32.38
42.08,66.9,480.16,891.33,107.72,9.46,65.54
34.55,70.96,442.38,722.24,113.58,0.82,47.34
26.78,53.31,158.8,754.62,113.73,4.9,40.2
41.46,45.23,205.58,711.27,85.07,6.87,44.27
37.43,79.33,409.55,876.5,66.01,1.6,35.22
21.53,40.56,340.56,190.69,100.28,7.5,47.2
39.91,44.33,183.52,577.3,93.85,2.1,44.56
30.0,50.03,14.6,519.56,53.24,4.92,14.16
34.66,56.09,447.85,549.34,64.2,6.32,49.82
30.29,53.17,98.21,638.05,64.47,1.9,29.29
27.27,38.35,92.09,232.34,57.44,0.78,13.63
25.58,78.21,316.84,632.39,74.89,2.22,35.87
31.21,87.85,269.05,327.04,111.42,7.27,53.58
32.67,89.89,328.91,897.47,88.22,9.15,57.16
30.46,49.84,338.89,371.46,95.36,0.62,38.14
20.09,40.81,94.07,266.44,58.76,3.49,23.77
28.72,77.86,148.78,100.08,44.82,7.36,49.05
36.96,84.01,187.07,640.42,62.77,7.55,57.79
38.39,49.97,204.53,428.22,58.61,5.22,32.75
31.59,51.89,104.3,798.64,41.21,6.51,30.69
33.88,48.56,209.26,722.55,61.27,2.14,31.11
20.21,61.5,419.78,248.73,63.54,9.97,57.58
40.35,53.66,73.6,944.83,59.8,7.64,43.07
31.34,32.51,299.87,857.09,96.58,1.04,29.73
44.51,84.04,178.23,487.05,74.67,4.07,61.4
32.15,48.65,51.71,443.09,101.85,0.31,22.18
20.22,66.96,488.87,283.82,101.69,4.77,45.54
43.56,83.04,492.97,181.39,59.67,4.33,62.82
22.75,47.91,126.49,480.58,98.41,3.71,25.07
40.87,60.75,428.21,554.36,62.95,1.21,43.57
27.87,58.29,412.42,160.52,52.17,5.81,34.76
24.0,52.67,196.06,887.2,116.3,6.7,48.65
34.02,79.16,19.92,388.06,78.06,5.92,46.05
20.61,60.78,298.03,941.13,100.22,8.21,44.09
38.72,70.23,360.38,297.01,108.01,6.96,60.62
40.7,41.4,443.31,270.99,47.07,6.63,41.88
29.53,76.67,139.64,743.2,113.49,9.82,47.41
22.18,64.28,102.83,995.94,97.48,7.12,39.04
36.27,81.17,186.33,865.65,71.03,5.56,37.53
22.73,89.51,9.51,409.96,68.22,5.17,35.7
24.31,49.64,214.62,915.9,85.63,2.28,32.11
44.31,46.79,444.69,202.65,51.4,1.82,44.05
40.14,62.81,469.24,409.71,67.43,0.16,46.28
29.51,85.65,18.23,402.02,54.77,6.07,39.79
42.79,35.71,99.44,361.85,116.14,7.46,68.47
34.22,37.39,260.01,130.81,82.89,6.75,51.13
25.79,44.93,366.86,743.62,81.58,3.64,32.12
29.09,48.95,366.23,581.73,110.21,6.54,49.67
37.64,41.5,471.61,930.81,43.74,6.83,34.19
38.12,66.68,265.55,769.69,63.73,7.38,52.53
39.09,65.4,362.84,986.52,47.35,7.89,46.4
22.58,82.26,212.94,550.6,119.19,5.66,50.1
34.85,34.39,238.99,189.53,41.21,1.1,22.87
42.44,54.92,471.13,291.77,74.31,2.75,44.52
26.91,75.25,479.21,711.69,113.09,6.86,51.1
25.76,61.38,244.8,573.16,47.88,1.44,25.5
25.2,55.49,316.53,728.5,73.47,3.02,23.06
27.94,84.84,171.42,536.5,93.01,1.58,33.82
30.71,32.74,72.25,476.63,48.46,0.68,24.14
33.76,84.45,49.01,723.09,51.25,2.61,26.34
28.8,41.78,239.18,943.64,117.74,5.42,35.99
37.48,71.34,74.67,572.14,91.57,5.85,38.94
29.38,52.02,167.1,405.54,117.88,9.45,64.46
39.89,67.44,227.6,490.36,111.87,6.96,57.72
30.16,54.2,153.71,800.25,90.85,7.27,43.28
23.46,54.09,26.87,676.76,101.39,1.73,16.56
29.68,45.96,482.56,479.6,74.41,1.68,37.09
25.15,73.96,126.32,151.52,95.26,6.12,51.99
29.47,30.73,415.23,771.2,115.95,5.77,48.94
20.62,54.99,324.81,501.41,80.69,9.99,57.94
41.43,37.99,80.39,996.23,65.72,3.01,35.07
27.87,68.11,87.84,913.68,97.91,3.75,34.63
21.95,41.76,324.23,787.72,97.59,0.12,29.08
42.68,59.38,423.09,898.67,51.57,4.45,47.87
31.96,69.79,325.01,768.73,41.47,0.24,34.16
33.65,54.69,185.09,852.64,65.06,7.86,43.39
34.81,56.21,18.16,136.03,56.43,4.74,35.41
40.24,79.76,137.0,750.16,103.86,3.55,41.32
28.08,35.03,103.75,378.05,43.74,6.9,22.6
28.3,45.49,248.15,698.15,96.96,2.17,38.25
27.18,32.6,311.32,965.41,88.43,3.07,33.79
23.67,47.67,166.26,381.69,77.38,4.24,28.86
36.48,53.02,469.44,653.84,44.67,3.37,43.08
42.8,42.27,65.68,927.34,60.04,2.15,32.69
38.83,86.87,227.67,708.16,80.41,8.39,52.37
22.58,58.47,410.36,641.22,57.17,9.13,51.95
33.03,75.57,488.48,610.23,114.74,7.46,52.45
30.77,42.62,313.46,758.99,75.1,9.02,52.56
29.49,40.25,202.0,324.37,99.57,6.59,39.01
40.73,71.23,262.85,537.39,53.81,9.94,57.92
28.72,43.4,78.62,623.86,56.29,9.57,32.45
39.13,73.89,155.55,639.94,71.68,6.47,50.85
25.32,77.17,206.84,608.76,94.02,4.78,39.71
25.44,86.71,276.77,398.92,77.53,1.49,42.61
28.14,60.69,494.77,925.67,48.7,6.37,37.96
25.63,69.24,12.97,596.19,84.63,6.66,28.62
33.32,88.95,142.19,892.28,101.02,2.89,35.08
20.03,88.27,184.58,762.28,60.13,3.67,21.83
42.6,39.79,61.39,320.63,64.38,8.79,47.71
20.23,53.3,446.45,751.11,89.37,4.18,34.8
43.71,57.92,469.28,203.74,62.61,6.8,52.66
34.29,33.11,471.72,546.81,110.88,8.95,65.4
33.82,43.19,109.02,509.03,70.61,4.48,31.3
28.68,71.92,303.39,339.8,42.73,4.97,30.48
25.62,61.71,392.26,557.33,70.06,8.95,38.85
38.38,72.87,393.09,468.08,100.13,8.99,60.98
37.0,50.96,493.18,379.38,75.58,8.53,51.47
24.45,53.46,459.96,510.68,52.98,7.49,39.77
23.89,44.29,460.11,526.73,90.17,9.12,59.53
27.28,76.93,198.84,495.1,80.25,9.27,51.89
32.86,66.57,104.37,719.03,84.96,0.16,39.13
38.2,47.75,358.68,643.7,87.12,7.85,44.35
24.7,71.54,407.94,623.01,93.91,0.92,36.95
23.53,45.97,120.12,521.89,44.83,6.78,18.11
24.13,61.0,23.35,239.36,41.47,8.97,33.66
41.73,58.33,278.03,659.65,42.7,2.04,29.62
33.4,71.25,485.77,593.77,65.38,0.57,36.57
20.41,83.26,259.54,436.35,45.1,0.62,23.55
23.89,76.42,172.6,104.89,62.28,7.04,34.96
42.34,89.31,218.99,191.46,46.37,3.5,50.51
33.42,42.37,239.44,637.97,55.94,4.98,35.06
42.13,65.09,489.15,668.95,82.27,2.49,47.93
40.45,45.55,424.46,489.76,109.65,8.74,65.14
35.9,69.18,378.57,323.83,95.05,5.48,49.04
31.37,63.16,120.14,262.49,107.31,0.13,31.75
38.34,85.33,439.95,761.03,111.21,9.56,78.69
28.06,54.09,382.59,440.49,115.08,9.79,72.31
24.63,61.79,108.6,591.6,105.26,3.69,39.2
38.62,75.18,34.19,282.88,109.5,1.78,48.51
25.75,66.51,93.43,168.27,66.69,0.93,26.95
41.71,64.61,281.35,778.99,98.71,0.56,50.34
38.18,33.33,138.14,383.2,113.0,7.62,54.8
30.45,74.95,289.05,981.39,76.15,1.85,25.1
20.43,89.68,217.18,227.29,115.64,4.21,55.41
37.75,51.25,159.09,985.59,89.58,3.15,34.78
20.95,80.06,26.83,906.51,71.47,3.36,17.48
39.82,50.49,338.24,968.62,101.39,7.21,58.02
38.9,78.77,369.11,110.27,50.28,0.35,50.86
35.34,86.02,135.37,292.62,62.1,7.63,49.5
29.67,45.92,499.4,955.54,103.63,8.19,55.13
31.68,88.04,485.82,565.59,96.16,6.63,47.13
27.39,32.46,483.2,703.86,117.4,5.77,53.08
33.58,74.02,129.53,327.87,69.37,0.41,33.66
43.04,77.16,281.24,379.98,43.4,8.01,69.22
42.23,78.92,256.53,394.8,75.12,2.67,51.91
31.59,82.57,204.99,243.09,63.42,5.48,44.81
42.56,41.27,469.0,510.73,49.55,2.53,37.3
27.6,51.25,44.22,367.58,84.41,9.34,36.59
31.25,77.02,434.26,455.49,47.5,7.65,51.68
23.96,47.78,462.49,295.33,80.44,7.75,42.65
32.73,68.33,296.47,513.08,54.19,3.95,29.36
32.31,78.33,473.02,363.37,83.04,2.23,50.85
24.89,45.02,371.25,423.93,93.99,6.01,44.73
43.05,81.26,282.95,735.89,56.76,4.28,51.29
20.35,36.03,78.52,453.19,77.87,1.41,13.74
40.04,72.77,139.03,816.88,73.09,10.0,48.8
39.56,63.47,155.16,493.18,55.89,2.78,28.88
41.34,78.52,185.81,913.16,118.03,9.46,68.95
32.74,46.98,393.8,673.71,88.32,7.16,42.01
23.33,62.28,180.37,941.81,109.88,6.57,44.39
20.03,82.16,17.75,265.52,49.3,1.85,16.79
23.71,33.88,365.53,281.05,114.18,8.94,53.06
25.76,37.18,359.02,654.84,112.59,2.78,32.84
41.23,49.16,283.87,644.71,66.57,0.02,31.22
42.83,62.46,248.66,775.67,80.69,3.17,41.54
21.59,64.65,280.42,881.07,98.45,9.0,45.2
38.85,41.66,388.16,138.2,97.95,2.36,48.93
37.55,61.5,53.0,311.37,80.26,5.41,49.93
39.67,86.25,330.8,343.41,78.69,8.32,68.61
35.45,37.65,291.88,447.86,56.86,3.62,26.27
35.59,33.63,237.86,640.3,43.32,6.89,38.27
25.66,88.58,164.03,812.99,42.31,7.48,39.22
31.29,41.74,325.57,388.76,95.11,9.45,60.61
37.73,72.64,151.03,563.9,71.61,3.0,39.76
30.17,38.78,18.28,123.13,115.51,7.65,50.56
25.3,40.36,284.95,950.18,52.38,1.44,24.6
26.03,54.54,479.52,511.98,107.23,3.09,35.02
41.95,86.71,173.29,927.23,100.93,3.7,47.62
30.46,66.49,278.77,442.6,95.55,0.67,41.97
25.69,40.28,119.72,606.34,47.92,4.03,25.08
29.28,88.67,267.96,891.01,63.05,2.97,37.77
20.74,38.0,66.94,761.15,52.2,0.96,9.26
31.73,61.45,176.29,295.56,64.23,8.41,44.2
28.89,34.93,395.61,987.5,108.82,9.82,52.51
38.67,62.88,56.34,667.43,113.64,3.73,34.46
26.19,77.61,124.59,921.91,73.12,2.08,22.43
34.79,58.8,182.36,782.54,104.56,8.04,46.28
28.73,65.1,11.71,536.2,89.97,3.22,35.43
26.86,76.84,159.02,128.93,71.91,3.57,38.23
39.05,68.6,307.1,470.91,81.06,4.59,43.59
22.7,31.71,381.32,599.83,82.74,7.41,40.49
29.7,54.89,252.5,825.19,74.3,4.29,38.24
30.25,64.81,495.01,418.78,116.9,2.53,54.74
34.53,64.78,24.48,382.02,98.38,2.98,43.55
29.69,38.02,426.06,724.06,58.95,7.84,46.52
32.03,82.58,116.31,744.23,66.64,7.87,39.36
30.4,68.83,334.18,101.57,113.88,9.85,62.49
27.87,83.56,33.24,351.27,95.59,6.23,43.78
33.59,84.17,211.19,759.83,116.2,0.6,52.09
40.77,44.46,9.9,519.24,117.73,6.32,45.21
43.07,38.64,103.81,877.14,78.67,4.55,43.14
36.7,73.81,325.84,854.39,40.47,8.61,51.92
41.19,37.74,192.51,434.77,46.37,3.97,38.05
20.41,81.4,499.08,749.08,82.49,2.88,47.78
34.96,42.64,155.16,900.33,73.81,0.58,18.67
44.32,68.91,98.43,413.36,59.58,2.82,49.56
27.84,68.66,434.15,546.18,92.34,0.87,46.82
40.84,30.28,177.98,221.74,72.65,7.89,48.19
40.11,33.71,207.4,237.3,68.08,8.34,48.13
30.09,78.68,138.37,925.17,119.87,5.32,47.45
32.26,48.08,476.49,635.09,42.68,3.48,26.58
23.36,68.85,26.22,469.49,49.99,9.84,35.1
43.59,59.71,361.5,727.03,78.77,6.38,58.22
30.57,72.21,275.26,912.0,107.08,4.47,45.05
23.49,48.08,145.1,176.68,76.38,4.18,38.53
23.98,70.96,103.02,504.46,52.15,5.33,25.39
30.47,71.01,361.07,151.44,54.85,7.59,42.83
37.88,47.8,364.96,718.68,110.6,8.62,60.93
23.91,31.81,221.68,390.16,71.88,4.21,18.21
26.97,68.04,397.42,550.0,116.55,8.36,59.18
37.86,35.95,4.63,228.18,108.82,7.25,38.92
37.7,57.6,469.47,570.06,42.51,7.17,47.8
42.87,75.45,300.56,671.17,41.79,2.0,35.13
28.77,55.01,484.94,532.6,101.61,2.5,51.97
20.83,39.3,332.91,116.61,107.49,0.44,37.33
29.6,74.07,148.9,481.18,76.19,7.94,53.78
38.82,37.41,466.68,946.3,51.03,7.87,37.27
24.6,68.61,2.11,406.14,52.17,1.89,16.91
41.51,55.44,291.54,459.66,84.25,4.78,49.35
22.31,40.93,425.4,236.87,104.54,7.73,61.1
38.69,45.84,162.0,336.17,91.89,5.82,47.32
33.24,50.59,175.18,318.03,91.21,5.63,51.54
33.08,58.69,447.49,414.51,98.76,9.24,54.74
23.79,41.37,182.96,608.94,105.82,0.83,29.56
36.2,55.6,430.19,290.21,72.81,6.63,42.96
40.53,76.81,38.89,980.89,45.11,4.18,27.42
37.21,61.12,179.65,947.37,71.68,5.99,39.5
22.65,49.11,84.72,899.08,41.62,3.51,16.46
23.56,68.04,188.59,315.91,84.69,0.58,36.97
27.56,45.35,178.87,583.55,49.43,9.03,32.17
39.93,41.86,8.26,959.23,55.32,0.38,21.32
24.98,37.17,95.96,137.33,119.14,5.02,49.22
39.65,81.98,270.64,993.04,107.12,2.16,48.23
25.79,39.1,142.95,313.35,86.72,0.25,37.3
21.28,49.37,8.53,126.75,63.22,3.52,12.92
41.27,69.84,141.27,926.22,112.69,7.49,63.68
42.38,44.35,12.71,421.21,79.05,4.36,44.78
31.05,59.53,441.42,717.28,79.99,8.25,47.0
30.15,71.49,455.41,122.54,84.24,8.19,59.66
29.35,45.27,463.83,708.7,93.68,5.84,34.37
29.52,51.96,270.85,844.0,46.34,0.99,18.1
26.12,37.17,90.32,973.62,63.13,4.46,17.96
42.16,36.69,195.5,998.04,41.04,6.01,34.78
44.08,48.62,443.07,220.61,90.64,7.76,61.83
26.33,58.43,353.86,557.58,100.24,9.44,53.84
42.35,54.16,201.14,897.35,103.95,3.28,46.43
